id,price,time
72,62,2015-10-2 5:40:50
73,57,2015-6-19 17:26:43
74,55,2015-5-6 10:34:18
75,20,2019-10-25 19:48:48
76,70,2017-7-4 15:50:43
77,56,2017-3-17 1:36:9
78,91,2017-11-3 9:37:60
79,70,2015-11-11 5:11:57
80,92,2016-10-23 20:38:8
81,6,2019-5-17 0:10:50
82,78,2016-5-24 7:20:35
83,36,2019-3-3 8:50:29
84,69,2018-9-26 23:34:60
85,40,2018-8-8 6:12:48
86,9,2015-3-24 14:59:4
87,16,2016-1-2 13:11:31
88,51,2016-5-26 11:33:42
89,82,2015-5-21 9:1:39
90,74,2019-10-12 5:47:37
91,61,2018-4-14 15:13:26
92,60,2018-6-5 18:46:54
93,20,2019-9-22 23:28:44
94,29,2017-7-5 12:51:11
95,16,2016-5-28 7:26:56
96,35,2017-7-1 13:47:52
97,39,2017-7-27 18:46:60
98,98,2017-11-19 6:28:40
99,75,2015-7-15 3:20:49
100,20,2015-3-3 16:27:58
101,72,2018-11-26 22:22:44
102,61,2017-9-26 11:52:24
103,75,2017-2-20 20:12:33
104,24,2015-7-24 19:39:30
105,2,2015-4-10 14:45:35
106,95,2016-8-21 10:55:14
107,39,2017-11-13 15:16:37
108,34,2019-11-28 3:30:44
109,35,2016-5-13 22:43:46
110,97,2018-5-15 19:19:37
111,85,2016-12-2 2:6:15
112,18,2016-4-6 5:35:18
113,40,2019-5-27 10:41:31
114,58,2016-5-18 1:11:56
115,88,2019-5-7 22:5:41
116,14,2019-4-26 6:9:52
117,55,2015-2-23 20:36:48
118,26,2018-2-19 20:54:20
119,98,2015-11-20 6:26:39
120,25,2017-2-26 1:32:30
121,4,2019-12-20 6:17:34
122,50,2015-6-22 13:46:45
123,80,2018-12-7 16:45:11
124,24,2018-7-13 13:6:19
125,77,2016-5-3 5:3:30
126,9,2016-3-17 21:34:10
127,36,2018-6-15 16:28:5
128,82,2017-12-14 17:12:31
129,31,2017-11-23 5:28:18
130,16,2015-2-11 4:48:22
131,56,2015-6-9 14:7:26
132,54,2018-1-20 1:21:7
133,97,2017-3-13 12:1:20
134,84,2018-9-5 11:26:56
135,18,2015-4-12 17:48:14
136,6,2016-5-17 17:56:52
137,98,2015-8-25 14:56:47
138,66,2017-1-27 10:51:51
139,21,2018-9-1 6:54:26
140,93,2018-11-7 22:51:23
141,16,2015-4-27 17:46:1
142,5,2017-2-7 8:14:13
143,21,2016-3-27 20:42:51
144,50,2015-8-23 7:42:34
145,67,2016-5-17 14:4:12
146,13,2017-5-23 8:52:26
147,17,2015-3-12 23:44:12
148,42,2017-6-6 21:14:10
149,82,2017-8-18 14:52:6
150,43,2016-11-1 12:38:16
151,12,2017-7-9 18:55:43
152,9,2018-9-19 0:29:29
153,9,2019-8-14 12:37:52
154,67,2018-6-24 16:23:8
155,52,2015-9-10 5:21:7
156,43,2016-11-4 18:17:23
157,61,2017-7-2 21:26:51
158,31,2017-8-5 11:20:40
159,78,2018-12-25 2:33:11
160,10,2017-2-11 20:54:51
161,30,2018-2-10 14:40:52
162,93,2019-5-9 15:37:35
163,4,2017-6-23 14:32:45
164,87,2015-3-16 0:14:29
165,58,2018-6-5 5:55:56
166,91,2015-6-1 16:12:21
167,23,2017-9-24 8:51:47
168,4,2015-10-19 13:60:56
169,76,2018-3-17 0:20:59
170,51,2018-8-26 16:56:48
171,41,2016-10-9 1:54:24
172,55,2019-4-23 22:4:28
173,94,2016-1-10 21:50:46
174,11,2017-3-9 2:23:31
175,85,2017-6-3 6:14:16
176,47,2019-4-16 13:56:7
177,57,2018-8-19 20:15:32
178,21,2018-2-3 15:33:52
179,74,2017-3-4 4:39:9
180,45,2017-2-20 18:45:40
181,74,2017-7-28 8:8:42
182,39,2016-9-2 21:39:18
183,58,2017-3-9 5:33:33
184,66,2019-3-25 8:31:49
185,34,2017-5-14 17:34:59
186,3,2017-3-7 6:27:23
187,91,2018-11-12 3:35:17
188,32,2015-6-21 11:60:21
189,47,2017-1-22 14:11:6
190,40,2016-5-13 19:43:36
191,17,2019-2-9 19:57:38
192,85,2016-6-4 12:28:20
193,33,2019-4-24 5:22:21
194,25,2017-5-3 12:15:30
195,81,2019-10-25 4:39:19
196,68,2016-7-19 22:5:9
197,50,2018-8-14 12:21:28
198,85,2015-10-5 10:29:24
199,76,2016-8-1 9:9:39
200,20,2017-1-25 3:31:7
201,6,2016-6-3 13:50:49
202,45,2019-2-18 9:56:54
203,25,2017-2-5 4:24:50
204,38,2017-5-1 14:34:35
205,26,2017-8-28 15:5:60
206,6,2015-11-7 18:33:1
207,82,2016-12-28 7:37:25
208,92,2019-10-23 19:23:9
209,18,2016-10-21 1:49:34
210,44,2018-3-18 1:29:25
211,21,2016-1-21 6:15:23
212,55,2019-10-5 9:4:52
213,33,2019-3-12 20:55:42
214,69,2019-7-10 18:15:16
215,7,2015-12-17 19:3:29
216,87,2019-9-21 17:54:31
217,23,2016-2-6 14:22:10
218,52,2017-7-17 13:56:54
219,64,2017-12-21 5:48:7
220,48,2016-10-12 11:43:48
221,65,2018-12-14 6:12:6
222,12,2017-7-18 22:50:53
223,28,2018-12-3 11:24:9
224,99,2015-10-15 5:7:16
225,15,2015-7-14 21:8:22
226,10,2018-9-24 11:26:52
227,7,2016-10-6 20:51:40
228,82,2018-11-9 15:22:42
229,45,2015-2-10 17:41:44
230,25,2016-9-3 12:23:56
231,68,2019-9-13 17:47:28
232,57,2019-8-14 0:15:17
233,48,2015-12-28 11:51:48
234,28,2018-3-5 19:3:57
235,100,2015-12-12 2:25:17
236,66,2016-11-10 17:24:16
237,37,2017-6-14 9:41:52
238,46,2015-1-15 9:23:25
239,55,2015-5-25 6:29:32
240,63,2018-12-2 11:54:9
241,77,2018-11-14 5:37:49
242,62,2017-2-7 17:54:20
243,99,2018-6-9 20:43:30
244,25,2015-4-25 11:52:42
245,50,2018-2-27 15:48:15
246,85,2018-8-24 8:44:25
247,97,2017-4-26 3:42:58
248,6,2016-6-7 0:5:43
249,12,2015-4-27 9:15:19
250,97,2015-10-16 11:43:33
251,88,2017-7-6 18:56:24
252,60,2019-2-21 9:42:27
253,11,2018-12-4 4:9:36
254,40,2016-6-19 5:59:51
255,2,2015-8-9 10:58:19
256,25,2019-8-15 6:4:5
257,25,2017-1-25 10:48:1
258,2,2018-8-18 8:43:52
259,90,2015-10-10 0:26:41
260,95,2016-9-18 16:41:22
261,3,2016-2-5 20:28:17
262,74,2018-6-18 4:3:30
263,87,2019-6-5 16:32:54
264,99,2019-4-17 14:47:13
265,75,2015-12-15 4:60:60
266,40,2019-8-9 23:11:57
267,9,2018-7-10 2:37:27
268,100,2019-4-25 19:42:27
269,60,2016-4-26 17:53:27
270,11,2015-8-16 15:57:13
271,5,2018-4-21 17:48:53
272,59,2019-6-12 10:50:27
273,19,2016-4-2 5:54:1
274,29,2018-2-7 16:22:4
275,63,2017-2-26 4:25:55
276,96,2016-5-16 4:51:3
277,52,2017-1-28 17:37:59
278,15,2018-5-1 0:45:19
279,80,2016-9-19 3:55:11
280,45,2019-4-19 5:7:40
281,11,2019-1-18 13:38:35
282,14,2015-4-2 15:14:38
283,90,2018-2-1 9:24:16
284,22,2019-6-6 1:31:49
285,55,2019-10-12 20:12:19
286,27,2017-12-22 21:56:12
287,58,2018-3-4 13:21:23
288,48,2019-8-25 21:48:15
289,63,2018-10-16 0:55:15
290,100,2018-3-21 16:46:19
291,49,2015-3-12 2:51:54
292,14,2015-3-25 11:42:26
293,93,2017-8-15 8:54:24
294,76,2017-10-17 18:26:38
295,50,2017-3-9 0:28:58
296,36,2016-1-19 8:40:13
297,20,2019-10-4 19:12:36
298,51,2017-7-8 10:53:47
299,30,2015-9-28 12:27:41
300,40,2016-7-18 5:55:23
301,24,2015-4-28 5:9:11
302,56,2017-7-6 5:19:48
303,63,2016-11-12 22:39:45
304,21,2015-9-15 11:32:12
305,7,2016-1-27 6:7:8
306,51,2015-2-9 7:49:5
307,25,2017-5-16 19:59:16
308,51,2016-8-17 10:59:8
309,91,2015-8-2 16:57:2
310,4,2018-6-13 19:41:1
311,80,2015-5-25 12:39:23
312,12,2017-5-19 19:9:12
313,8,2019-5-18 7:40:46
314,29,2015-3-24 11:56:20
315,74,2017-12-25 1:33:29
316,2,2015-11-20 13:53:19
317,12,2018-6-24 13:35:25
318,53,2015-9-12 20:18:48
319,89,2015-7-1 22:56:17
320,62,2017-3-2 10:11:55
321,99,2018-9-12 6:41:43
322,81,2015-4-27 8:42:1
323,80,2017-11-13 10:20:35
324,63,2017-6-22 15:49:36
325,53,2018-6-11 23:18:21
326,11,2016-6-18 1:10:44
327,44,2016-1-19 15:11:41
328,45,2015-12-21 14:48:36
329,70,2018-1-5 10:14:31
330,14,2017-7-24 9:10:3
331,2,2017-3-28 1:40:19
332,58,2017-11-23 5:33:14
333,25,2016-1-14 17:16:41
334,81,2017-5-27 5:28:56
335,43,2019-2-19 20:29:50
336,26,2018-3-4 15:17:8
337,43,2017-4-27 7:25:36
338,11,2016-6-2 4:27:26
339,95,2019-8-27 1:30:48
340,71,2019-2-5 15:49:48
341,6,2017-6-13 21:33:39
342,71,2018-4-28 8:48:60
343,34,2017-7-12 1:14:8
344,15,2018-4-5 2:54:8
345,31,2017-1-7 0:3:46
346,86,2019-11-4 21:31:31
347,51,2018-1-26 20:25:47
348,45,2016-5-10 8:30:17
349,56,2019-3-16 7:42:32
350,84,2016-11-18 22:23:21
351,3,2016-5-13 16:11:5
352,57,2016-1-14 4:23:55
353,45,2015-12-23 20:30:53
354,28,2019-12-9 3:18:28
355,41,2015-3-11 20:16:30
356,99,2018-9-17 2:18:19
357,24,2018-8-11 17:19:5
358,100,2017-2-15 9:26:16
359,97,2015-8-27 16:33:7
360,70,2016-8-12 17:43:5
361,57,2019-2-25 7:3:35
362,10,2015-7-9 7:39:5
363,70,2019-2-22 10:55:3
364,59,2015-1-19 0:22:30
365,42,2018-7-5 22:53:7
366,71,2017-5-20 22:46:15
367,75,2019-12-16 10:32:23
368,42,2015-5-5 21:8:57
369,18,2017-9-23 22:48:17
370,94,2016-9-23 5:27:35
371,27,2017-6-19 15:51:20
372,95,2016-10-5 15:29:10
373,64,2018-12-9 10:39:1
374,13,2017-12-26 18:39:12
375,85,2016-3-3 17:55:16
376,90,2018-8-7 8:20:57
377,88,2018-10-6 21:26:32
378,46,2015-1-18 21:32:9
379,79,2016-4-28 1:26:58
380,49,2015-8-10 11:28:39
381,95,2017-4-6 11:45:42
382,19,2015-12-4 4:53:27
383,1,2017-2-4 18:48:54
384,53,2015-5-6 20:46:37
385,100,2015-8-17 19:17:17
386,5,2019-1-7 21:12:33
387,86,2017-3-28 19:22:42
388,50,2017-10-20 17:25:60
389,27,2018-9-16 23:29:40
390,8,2017-10-24 18:26:27
391,100,2019-2-4 5:42:29
392,79,2016-11-6 7:2:49
393,21,2015-7-22 14:12:13
394,88,2018-11-8 12:5:49
395,39,2016-7-19 0:45:42
396,88,2018-3-28 6:6:29
397,99,2016-4-8 4:60:11
398,34,2016-5-24 20:11:19
399,35,2018-6-28 22:19:58
400,64,2016-3-26 22:43:58
401,27,2018-8-9 22:13:3
402,26,2017-7-21 10:27:60
403,37,2016-12-10 2:16:54
404,2,2017-6-2 13:8:5
405,88,2019-8-15 7:4:2
406,91,2018-5-19 16:35:11
407,31,2015-4-2 14:16:57
408,82,2016-1-11 3:40:27
409,31,2015-12-22 20:37:42
410,16,2015-4-5 1:11:49
411,48,2017-4-5 16:34:55
412,15,2018-3-26 23:57:55
413,35,2016-2-17 19:2:29
414,99,2016-10-23 23:52:6
415,23,2017-12-13 4:13:9
416,95,2019-2-21 6:28:39
417,60,2018-1-2 22:25:5
418,83,2015-7-25 23:30:7
419,87,2019-4-19 3:25:22
420,46,2019-11-6 6:28:47
421,53,2018-5-12 17:38:58
422,52,2019-11-1 2:44:19
423,57,2018-2-15 2:8:58
424,31,2017-6-21 21:5:29
425,66,2015-8-19 15:54:9
426,45,2015-10-15 4:4:27
427,63,2017-11-12 7:45:45
428,63,2015-11-15 13:20:59
429,25,2015-4-23 9:10:30
430,10,2017-5-1 23:16:14
431,39,2015-11-12 19:56:32
432,81,2018-5-21 4:59:2
433,32,2017-3-23 6:36:35
434,75,2019-4-6 5:33:16
435,3,2016-6-23 8:55:39
436,86,2016-11-21 0:57:21
437,78,2015-1-14 15:48:7
438,49,2016-3-6 11:42:39
439,64,2017-9-8 16:2:43
440,70,2016-6-21 3:44:31
441,86,2017-8-7 7:23:14
442,34,2015-4-24 19:52:1
443,72,2019-8-11 16:52:59
444,13,2017-10-14 6:9:3
445,71,2018-12-9 10:58:16
446,49,2018-9-27 16:44:57
447,90,2015-12-8 5:30:31
448,10,2018-2-7 7:41:20
449,94,2019-12-19 10:7:48
450,55,2016-1-12 0:58:38
451,77,2018-2-21 6:59:20
452,60,2017-7-11 14:36:2
453,62,2019-2-18 8:59:47
454,59,2015-11-23 20:58:27
455,52,2018-3-4 7:31:1
456,21,2016-4-7 2:3:49
457,2,2019-12-13 12:48:10
458,45,2015-9-21 21:4:26
459,86,2017-4-17 15:6:60
460,33,2016-1-11 5:57:24
461,44,2019-10-2 10:2:32
462,52,2015-12-20 13:52:36
463,51,2018-6-22 10:47:17
464,58,2016-11-1 10:32:5
465,98,2018-2-13 20:46:9
466,38,2017-2-26 6:43:46
467,16,2019-6-7 6:13:36
468,58,2019-12-5 4:25:50
469,21,2018-2-17 11:10:56
470,12,2017-8-24 17:19:19
471,90,2015-12-3 8:56:23
472,77,2015-7-1 1:11:18
473,72,2019-9-7 4:14:46
474,59,2016-12-18 1:42:13
475,59,2016-9-13 4:14:8
476,4,2019-2-9 20:22:26
477,54,2018-5-24 20:43:23
478,14,2016-6-11 3:44:10
479,95,2018-9-13 21:57:53
480,28,2019-2-25 3:30:27
481,77,2017-9-22 17:33:32
482,18,2018-3-25 0:24:23
483,25,2019-3-16 2:10:58
484,22,2016-6-28 16:28:20
485,4,2017-11-18 20:8:39
486,17,2018-2-20 1:39:57
487,97,2018-2-10 5:7:13
488,5,2019-12-1 11:43:5
489,40,2015-11-15 8:59:26
490,97,2016-5-8 19:19:35
491,56,2016-1-5 22:7:50
492,34,2016-11-10 11:18:35
493,57,2015-2-23 14:23:2
494,9,2019-1-8 1:11:21
495,32,2015-8-6 11:55:23
496,24,2015-5-24 2:43:38
497,9,2019-1-10 6:57:40
498,93,2018-1-11 5:50:40
499,10,2016-9-14 16:32:12
500,10,2016-5-12 15:29:2
501,26,2018-6-24 3:57:18
502,78,2016-9-18 23:30:3
503,78,2019-4-20 22:22:29
504,40,2019-5-13 21:18:58
505,44,2017-12-27 2:43:35
506,66,2016-4-15 21:4:31
507,58,2015-4-12 18:26:46
508,39,2016-4-13 23:11:52
509,3,2019-10-3 20:4:32
510,83,2016-3-23 17:27:40
511,59,2019-1-3 16:29:35
512,96,2015-1-14 21:7:5
513,21,2019-10-22 15:3:13
514,15,2019-8-7 8:26:51
515,87,2016-9-16 11:50:45
516,88,2018-1-5 10:5:50
517,82,2018-9-23 19:6:45
518,35,2018-4-8 8:48:40
519,82,2018-7-27 8:32:53
520,9,2015-8-15 17:46:17
521,99,2018-7-7 9:47:57
522,54,2016-6-12 8:31:34
523,89,2018-7-23 6:47:50
524,52,2019-9-28 3:29:13
525,13,2015-1-28 10:43:32
526,41,2016-4-2 1:10:30
527,50,2017-2-26 16:44:6
528,15,2019-7-20 18:29:44
529,18,2017-1-18 13:43:39
530,69,2019-2-20 17:25:54
531,45,2016-2-5 16:3:57
532,6,2015-9-14 2:24:52
533,100,2017-7-20 0:51:47
534,58,2015-7-21 19:46:22
535,97,2015-5-26 5:39:41
536,47,2017-11-4 5:20:53
537,28,2016-8-11 12:23:26
538,86,2016-6-5 1:55:42
539,32,2017-2-7 20:22:12
540,41,2016-7-16 0:11:2
541,12,2019-1-21 11:59:30
542,24,2018-9-5 22:54:40
543,44,2018-2-4 23:45:3
544,54,2017-10-7 13:33:34
545,71,2016-10-16 10:41:60
546,1,2017-9-10 0:4:47
547,35,2019-10-11 0:34:8
548,38,2019-10-19 13:8:56
549,42,2018-12-28 22:1:28
550,55,2015-5-13 14:18:34
551,10,2017-1-26 6:9:58
552,86,2016-9-1 20:16:19
553,69,2019-6-24 19:43:44
554,11,2017-8-20 16:36:49
555,18,2016-8-17 0:15:36
556,59,2017-6-8 22:33:1
557,37,2015-2-16 0:39:44
558,64,2015-1-7 13:49:30
559,81,2018-1-25 6:47:19
560,36,2019-6-3 14:10:3
561,45,2019-12-9 21:2:55
562,11,2019-11-4 10:51:45
563,30,2018-9-11 19:34:19
564,68,2019-6-19 21:11:49
565,55,2015-7-10 18:19:35
566,36,2019-11-6 18:47:32
567,23,2018-10-12 8:15:48
568,88,2017-1-28 4:29:18
569,40,2015-9-1 13:14:21
570,55,2018-2-3 14:39:5
571,6,2016-6-2 13:46:14
572,87,2019-12-8 0:38:53
573,53,2017-11-4 18:58:17
574,11,2017-8-21 16:17:57
575,12,2015-8-17 23:60:43
576,8,2019-6-8 13:26:57
577,68,2018-10-22 9:21:9
578,91,2017-11-19 16:55:9
579,18,2018-10-3 9:41:15
580,89,2019-11-21 10:44:24
581,19,2019-3-16 12:21:54
582,68,2016-7-7 15:10:13
583,58,2019-7-19 6:32:57
584,36,2017-4-22 20:32:19
585,76,2018-12-22 20:58:15
586,33,2015-1-23 3:11:11
587,91,2017-5-26 4:6:52
588,62,2017-2-5 5:14:2
589,96,2017-11-7 0:53:54
590,81,2017-9-2 12:20:11
591,38,2017-3-9 2:48:12
592,5,2015-9-15 8:56:40
593,64,2015-5-2 0:6:47
594,54,2016-11-14 7:18:59
595,34,2015-7-18 15:14:50
596,16,2015-5-19 13:41:59
597,66,2017-2-22 1:24:19
598,75,2019-1-7 2:27:31
599,13,2017-9-11 19:17:26
600,21,2015-8-4 4:28:15
601,18,2017-5-4 10:26:32
602,76,2018-2-2 8:38:24
603,17,2017-12-12 10:3:49
604,13,2019-4-20 17:32:48
605,92,2018-8-17 8:45:56
606,47,2018-7-12 15:10:14
607,2,2019-12-21 14:27:51
608,48,2016-12-27 10:16:14
609,30,2016-6-13 9:7:29
610,12,2019-2-14 8:29:35
611,25,2015-7-22 23:32:45
612,91,2015-6-1 3:11:28
613,13,2019-1-15 18:40:25
614,81,2015-2-16 15:19:45
615,35,2019-7-9 7:3:46
616,64,2019-7-17 12:51:31
617,36,2017-5-12 11:15:48
618,39,2017-8-9 2:29:51
619,58,2018-7-22 0:29:24
620,25,2018-5-4 22:10:49
621,26,2016-8-6 9:25:18
622,42,2015-4-19 3:42:2
623,1,2019-2-7 22:58:36
624,76,2015-1-15 13:34:37
625,37,2016-12-25 5:35:1
626,78,2017-7-10 17:9:22
627,56,2019-7-22 16:51:3
628,15,2017-1-25 20:44:41
629,31,2019-12-13 18:32:14
630,61,2016-11-1 1:37:33
631,89,2015-1-1 19:18:51
632,89,2015-12-27 22:34:16
633,51,2017-6-18 6:49:18
634,7,2018-6-14 2:11:16
635,77,2019-3-22 1:52:24
636,47,2015-4-20 13:27:35
637,49,2019-12-21 3:8:6
638,88,2019-8-16 5:41:49
639,76,2019-10-8 19:37:15
640,73,2017-1-10 23:39:20
641,72,2016-3-16 13:56:22
642,50,2017-3-22 16:37:56
643,92,2018-8-26 18:48:49
644,79,2015-10-17 23:57:35
645,32,2018-2-28 9:38:5
646,90,2018-11-26 11:54:41
647,13,2019-6-7 10:41:18
648,39,2019-4-6 15:42:43
649,97,2018-4-10 19:10:58
650,22,2017-5-7 21:35:40
651,21,2018-3-9 18:12:44
652,79,2017-5-22 21:52:55
653,57,2016-1-20 22:31:35
654,79,2019-9-27 10:59:1
655,1,2015-8-11 17:51:54
656,14,2015-7-15 19:55:42
657,68,2018-12-16 3:53:24
658,33,2015-8-27 20:23:31
659,74,2015-5-17 12:26:12
660,87,2017-8-25 11:54:7
661,36,2019-12-10 1:23:43
662,29,2016-2-8 9:51:51
663,73,2015-10-13 4:24:52
664,17,2019-1-12 0:50:26
665,83,2017-5-3 13:28:20
666,71,2018-9-19 13:9:10
667,56,2018-9-10 7:16:23
668,39,2019-1-16 4:52:34
669,88,2015-10-3 11:3:25
670,89,2019-10-9 1:56:52
671,83,2018-7-28 23:13:30
672,41,2017-11-18 12:13:59
673,15,2015-5-16 19:21:27
674,62,2015-11-2 7:37:46
675,30,2019-3-6 9:44:12
676,17,2019-12-3 16:48:54
677,68,2018-8-11 13:40:35
678,64,2018-5-19 4:40:1
679,35,2015-10-22 9:53:18
680,3,2017-5-15 20:31:35
681,58,2019-9-27 10:37:4
682,8,2015-6-26 18:4:46
683,23,2015-3-20 0:11:15
684,65,2018-11-2 9:60:14
685,63,2016-2-4 6:13:57
686,36,2017-7-17 13:19:1
687,80,2018-12-25 20:31:31
688,70,2015-3-11 18:31:26
689,52,2017-4-5 4:34:33
690,8,2017-8-15 10:54:27
691,40,2015-8-21 18:52:59
692,58,2016-3-3 0:41:8
693,60,2015-6-28 8:45:56
694,10,2018-10-27 3:52:19
695,94,2018-5-9 19:45:55
696,8,2015-2-12 15:56:42
697,62,2015-2-12 8:35:33
698,5,2015-6-14 11:10:48
699,4,2015-1-25 20:45:5
700,61,2015-7-2 0:57:19
701,91,2015-4-7 6:53:8
702,81,2019-6-14 13:3:26
703,9,2016-9-11 21:55:41
704,80,2018-3-25 3:26:28
705,68,2018-7-24 7:48:21
706,18,2017-8-26 13:55:10
707,77,2016-11-20 0:3:15
708,73,2016-8-26 4:34:22
709,66,2015-9-24 15:14:44
710,27,2018-2-14 0:5:46
711,9,2016-8-11 18:39:19
712,28,2018-10-15 13:44:2
713,11,2019-4-15 19:40:22
714,70,2017-1-23 23:4:27
715,86,2019-2-18 18:23:39
716,15,2019-5-18 11:59:13
717,43,2016-9-20 16:59:32
718,3,2015-8-19 3:14:30
719,32,2016-11-25 19:39:40
720,11,2017-12-3 14:10:35
721,28,2015-2-15 10:37:24
722,11,2016-1-2 23:49:2
723,46,2018-4-13 11:8:39
724,67,2018-3-11 4:58:32
725,46,2015-9-21 16:21:2
726,34,2018-5-23 22:50:35
727,96,2016-11-6 17:6:20
728,44,2017-2-23 13:19:35
729,9,2019-6-5 10:10:1
730,42,2018-10-27 16:33:49
731,71,2017-10-8 7:14:29
732,33,2018-5-8 15:53:46
733,88,2017-9-4 13:46:45
734,99,2017-10-10 21:10:23
735,9,2019-4-7 17:15:31
736,3,2016-2-21 15:41:48
737,53,2016-11-18 15:2:16
738,88,2016-11-4 20:7:59
739,56,2015-9-13 16:41:18
740,15,2018-10-10 1:56:15
741,92,2015-11-11 14:30:14
742,29,2016-4-27 12:7:15
743,86,2018-8-25 8:22:40
744,63,2016-5-1 2:9:7
745,24,2016-11-17 2:48:37
746,2,2016-3-13 3:32:53
747,64,2015-1-19 9:45:40
748,49,2019-8-14 17:33:32
749,12,2017-7-2 7:52:29
750,61,2015-10-13 5:52:45
751,5,2017-3-14 15:48:6
752,27,2017-6-8 8:21:53
753,83,2017-3-1 8:29:44
754,95,2017-6-8 0:38:40
755,50,2018-1-12 11:56:59
756,21,2018-9-5 15:25:31
757,49,2017-12-26 22:17:57
758,21,2018-6-7 20:7:8
759,65,2018-12-5 5:3:46
760,47,2018-4-6 16:15:53
761,34,2017-7-23 3:2:16
762,16,2017-4-2 12:2:50
763,78,2018-4-23 15:20:34
764,68,2017-9-22 14:35:40
765,34,2017-3-2 12:53:53
766,96,2016-9-12 11:60:11
767,83,2018-10-23 20:3:36
768,56,2017-3-17 22:51:27
769,54,2016-4-16 1:13:44
770,31,2016-10-23 4:43:24
771,49,2017-9-5 1:13:12
772,37,2016-4-2 15:39:42
773,19,2017-2-19 17:10:14
774,90,2018-11-27 11:48:21
775,64,2018-12-16 0:6:57
776,72,2015-10-14 8:54:13
777,81,2016-11-18 1:52:24
778,92,2019-1-23 20:57:13
779,92,2016-12-11 16:50:12
780,70,2018-1-12 21:1:54
781,50,2017-4-24 18:41:2
782,61,2016-3-4 7:5:45
783,6,2018-7-18 14:2:40
784,100,2017-6-26 20:25:33
785,74,2016-6-11 8:3:31
786,12,2016-8-18 22:31:8
787,9,2017-9-21 7:41:36
788,55,2017-5-4 0:31:9
789,19,2016-5-14 4:25:59
790,80,2017-5-28 21:33:7
791,69,2016-6-16 13:8:42
792,22,2015-5-11 15:34:17
793,45,2016-8-15 0:5:16
794,44,2016-4-16 14:31:36
795,62,2017-5-2 9:11:11
796,51,2015-2-14 7:53:21
797,58,2017-9-3 20:53:15
798,4,2018-8-25 16:10:51
799,38,2018-11-1 22:27:22
800,79,2018-11-17 23:16:59
801,78,2019-1-13 5:59:10
802,68,2018-4-18 21:21:25
803,84,2019-4-22 1:32:51
804,9,2017-7-1 23:30:13
805,8,2018-9-12 5:1:46
806,77,2019-12-24 4:2:8
807,75,2017-11-11 14:39:35
808,94,2018-11-25 16:40:31
809,86,2017-7-19 2:21:35
810,97,2016-1-11 14:24:56
811,57,2015-4-3 14:7:55
812,12,2018-5-14 22:17:53
813,51,2015-10-25 14:8:48
814,44,2019-3-19 20:9:46
815,36,2015-1-12 12:46:47
816,78,2018-10-9 14:21:52
817,26,2015-7-23 12:56:3
818,88,2016-7-5 2:57:3
819,4,2018-2-19 14:21:40
820,63,2017-12-13 10:35:40
821,3,2019-11-5 8:43:24
822,6,2019-4-17 17:40:32
